row_id,agent_key,ground_truth,gemini_verdict,match,reviewer_label,reviewer_notes,confidence,main_flags,gemini_reason,url,ground_truth_category,gemini_details,gemini_response_json
1746,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/21cec92aac5ec630c9b9b191136ef1090975456f776fd72f11bb98a77f850fd9b34514c694bea36f63b54f6eff5592cc4e3e0ba16620427c71cc7e28d8b53bba.JPEG,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna hitam dan ketajaman teks pada plat nomor kuning terlihat natural dan konsisten dengan pencahayaan di sekitarnya. Tidak ditemukan indikasi teks vektor 2D murni atau bekas editan digital pada latar belakang plat."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
1747,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/2cd99d297db1c8be6bb3577a84e9c373d17da7c30711c2e2136a3e6f858f83a1dbeb41030f99776f2ee749ee19187be455b618dddecf4fc94bc3b1327a97e012.JPEG,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna hitam dan ketajaman teks pada plat nomor terlihat menyatu dan konsisten dengan pencahayaan serta bayangan dari bumper di sekitarnya. Tidak ditemukan indikasi dempulan latar belakang atau teks 2D vector murni."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
1748,carphoto.digital_forensic,REJECTED,NOT OK,MATCH,,,95,has_editing_traces | plate_editing_detected | type=PLATE_TEXT_OVERLAY,"Plat nomor terindikasi kuat sebagai hasil editan digital (overlay). Bentuk, warna, dan ketajaman plat sangat tidak natural dan terlihat seperti grafis 2D yang ditempelkan pada foto kendaraan.",https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/form-unit-tambah-unit-subsidi-0.25770108256054125.JPEG,,"{""has_editing_traces"": true, ""manipulation_confidence"": 95, ""manipulation_type"": ""PLATE_TEXT_OVERLAY"", ""primary_indicators"": [""flat digital pure black text"", ""mismatch in text contrast vs environment""], ""technical_evidence"": [""pure black background ignores lighting"", ""perfectly sharp vector text ...","{""visual_inspection_log"": ""Teks dan latar belakang plat nomor terlihat sangat tidak natural, berupa kotak hitam pekat dan teks putih murni yang ditempel secara digital. Plat ini sepenuhnya mengabaikan perspektif, pencahayaan, dan bayangan dari bumper kendaraan di sekitarnya."", ""v_reason"": ""NOT OK"", ""v_ai_reason"": ""Plat nomor terindikasi kuat sebagai hasil editan digital (overlay). Bentuk, warna, dan ketajaman plat sangat tidak natural dan terlihat seperti grafis 2D yang ditempelkan pada foto kendaraan."", ""details"": {""has_editing_traces"": true, ""manipulation_confidence"": 95, ""manipulation_type"": ""PLATE_TEXT_OVERLAY"", ""primary_indicators"": [""flat digital pure black text"", ""mismatch in text contrast vs environment""], ""technical_evidence"": [""pure black background ignores lighting"", ""perfectly sharp vector text overlay""], ""plate_editing_detected"": true}}"
1749,carphoto.digital_forensic,REJECTED,NOT OK,MATCH,,,98,has_editing_traces | plate_editing_detected | type=PLATE_TEXT_OVERLAY,"Terdeteksi manipulasi digital yang sangat jelas. Teks plat nomor ditempel (overlay) secara digital pada foto, terlihat melayang dan tidak berada pada tempat pemasangan plat yang semestinya.",https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/form-unit-tambah-unit-subsidi-0.21959513005023412.JPEG,,"{""has_editing_traces"": true, ""manipulation_confidence"": 98, ""manipulation_type"": ""PLATE_TEXT_OVERLAY"", ""primary_indicators"": [""flat digital text overlay"", ""text floating off plate mount""], ""technical_evidence"": [""text ignores environmental lighting and perspective"", ""obvious digital text insertio...","{""visual_inspection_log"": ""Teks plat nomor terlihat melayang dan ditambahkan secara digital di atas bumper, terpisah dari posisi plat fisik yang sebenarnya. Teks tersebut sangat tajam, datar (2D), dan sepenuhnya mengabaikan pencahayaan serta perspektif kendaraan."", ""v_reason"": ""NOT OK"", ""v_ai_reason"": ""Terdeteksi manipulasi digital yang sangat jelas. Teks plat nomor ditempel (overlay) secara digital pada foto, terlihat melayang dan tidak berada pada tempat pemasangan plat yang semestinya."", ""details"": {""has_editing_traces"": true, ""manipulation_confidence"": 98, ""manipulation_type"": ""PLATE_TEXT_OVERLAY"", ""primary_indicators"": [""flat digital text overlay"", ""text floating off plate mount""], ""technical_evidence"": [""text ignores environmental lighting and perspective"", ""obvious digital text insertion""], ""plate_editing_detected"": true}}"
1750,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/foto_kendaraan_wkwfooI_NIk99pOP_1659772640459.jpg,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna putih dan ketajaman teks pada plat nomor terlihat menyatu dan konsisten dengan pencahayaan serta bayangan dari bumper di sekitarnya. Tidak ditemukan indikasi dempulan latar belakang, teks 2D vector murni, ataupun tumpukan plat fisik."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
1751,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/92f23535e480db07345036b2b247c3c62e76f806262e7ff12f1e6349ca30bf6bd916597d69888bc06b3ffca288e3efaf3978a167ab84edb290468d28d0daf820.JPEG,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna putih dan ketajaman teks pada plat nomor terlihat menyatu dan konsisten dengan pencahayaan serta tekstur dari bumper di sekitarnya. Tidak ditemukan indikasi dempulan latar belakang, teks 2D vector murni, atau tumpukan plat fisik."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
1752,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/cf390149da4041d0ee4ae21792c90e59057a3482f7e75b74965bd9b30ca6bcf53342a4db489236fbaebf1353d66d8785f30d7cae2ac28bd2502f6edc6a0429b2.JPEG,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna hitam dan ketajaman teks pada plat nomor terlihat menyatu dan konsisten dengan pencahayaan serta bayangan dari bumper di sekitarnya. Tidak ditemukan indikasi dempulan latar belakang, teks 2D vector murni, ataupun tumpukan plat fisik."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
1753,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/foto_kendaraan_wBBIBow_N4kw1kdP_1661389311859.jpg,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna dan ketajaman teks pada plat nomor terlihat menyatu dan konsisten dengan pencahayaan serta tekstur fisik dari bumper di sekitarnya. Tidak ditemukan indikasi manipulasi digital, dempulan latar belakang, atau penumpukan plat fisik."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
1754,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/foto_kendaraan_wobBmko_NNmw1BO8_1661571021455.jpg,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna dan ketajaman teks pada plat nomor terlihat natural dan konsisten dengan resolusi serta pencahayaan lingkungan sekitar. Tidak ditemukan indikasi tumpukan plat fisik maupun manipulasi digital pada area plat."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
1755,carphoto.digital_forensic,APPROVED,OK,MATCH,,,10,,,https://storage.googleapis.com/image-wreg/wr/foto_kendaraan/foto_kendaraan_wowm9b9_NWk9m9sd_1661499524422.jpg,,"{""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}","{""visual_inspection_log"": ""Warna dan ketajaman teks pada plat nomor terlihat menyatu dan konsisten dengan pencahayaan serta resolusi keseluruhan gambar. Tidak ditemukan indikasi dempulan latar belakang, teks vektor 2D murni, atau tumpukan plat fisik."", ""v_reason"": ""OK"", ""v_ai_reason"": """", ""details"": {""has_editing_traces"": false, ""manipulation_confidence"": 10, ""manipulation_type"": null, ""primary_indicators"": [], ""technical_evidence"": [], ""plate_editing_detected"": false}}"
